STATUS OF ELECTRONIC INTERLOCKING	,,,,,,,,,,06-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,TRT,PUT,Station,AJJ-RU,B,HITACHI,24,AP,29-12-05,2005-06,Centralised,NA,NO,YES,26-11-2025,Panel+VDU working,YES,,,NA,NA,NA,,,,,,,230/AT With UPS,NA,,WARM STAND BY,MLK-II,,Not Upgraded,25-11-25,INSIDE,AMC,28-05-25,27-11-25,PROVIDED,IPS SUPPLY,EMRC Not Available,NOT PROVIDED,N/A,15-20 years,,NO,YES,,,,,,,,NO,,NA,
41,TRT,TDK,Station,AJJ-RU,B,MEDHA,26,AP,15-06-25,2025-26,Centralised,NA,YES,YES,,DUAL VDU,,,,NA,NA,NA,,,,,,,230/AT With UPS,NA,,HOT STAND BY,MEI 633,15-06-25,Upgraded,15-06-25,INSIDE,AMC,28-05-25,27-07-25,NOT PROVIDED,IPS SUPPLY,EMRC Not Available,NOT PROVIDED,N/A,<1 year,,YES,YES,,,,,,,,NO,,NA,
42,TRT,PUDI,Station,AJJ-RU,B,MEDHA,35,AP,10-05-24,2024-25,Centralised,NA,YES,YES,,DUAL VDU,,,10-05-24,,,10-05-24,,,10-05-24,,,10-05-24,B110/IPS,B110/IPS,,HOT STAND BY,MEI 633,10-05-24,Upgraded,,INSIDE,Due for AMC,10-05-24,09-05-25,NOT PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,RDSO STD,1-5 years,,YES,YES,,,,,,,,NO,,NA,
43,TRT,SVF,Station,AJJ-RU,B,MEDHA,11,AP,21-03-24,2023-24,Centralised,NA,YES,YES,,DUAL VDU,"SAMSUNG 55inch,LH55QMBEBGCLXL",01-08-23,21-03-24,"SAMSUNG 55inch,LH55QMBEBGCLXL",01-08-23,21-03-24,MEDHA V2714,01-09-23,21-03-24,MEDHA 2715,01-09-23,21-03-24,BX110/IPS,BX110/IPS,,HOT STAND BY,MEI 633,21-03-24,Upgraded,,OUTSIDE,Due for AMC,21-03-24,21-03-25,PROVIDED,IPS SUPPLY ,PROVIDED,PROVIDED,RDSO STD,1-5 years,,YES,YES,,,,,,,,NO,,NA,
44,KPD.E,TUG,Station,AJJ-JTJ,B,KYOSAN,22,TN,30-03-22,2021-22,Centralised,NA,YES,YES,,DUAL VDU,LG   55 UH5C,29-02-20,,SAMSUNG - LH55QMCEBGCLXL,31/07/2025,03/09/2025,,,,,,,BX110 (IPS),BX110 (GALLANT INVERTER),AUTO DELETE ENABLED,HOT STAND BY,K5BMC,,Upgraded,,OUTSIDE,AMC,08-07-25,07-07-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,RDSO STD,1-5 years,NO,YES,YES,17/11/2025,09:30:00,13:35:00,"1. System 1 & 2 Change over done.
2. Emergency Route Release Cancellation checked.
3. VDU Change Over done.
4. Kyosan Rack 1 & 2 all parameters checked.
5. Kyosan Rack 1& 2 Cleaned.
6. VDU A & B Parameters Checked.
7. Both VDU Change Over checked.
8. MTC Parameters Checked.
9. Clock synchronisation done.",MTC System hanging,Spare Card Available in MTC ROOM.,21/02/2023,YES,30-03-22,Working,
45,KPD.E,WJR,Station,AJJ-JTJ,B,KYOSAN,70,TN,05-02-22,2021-22,Centralised,NA,NO,YES,05-12-2022,DUAL VDU,LG & 49UH5C,10-05-19,,Samsung & LH55QMCEBGCLXL,02/04/2025,03/09/2025,"C&T ,ACO-6033C-2L-M12",,,"C&T,ACO-6033C-2L-M12",,,BX110 IPS,B 110 GALLANT,AUTO DELETE ENABLED,HOT STAND BY,K5BMC,,Upgraded,,OUTSIDE,AMC,08-07-25,07-07-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,ESM,1-5 years,NO,YES,YES,16/11/2025,10:22:00,15:26:00,"Check & measure the power supply,visual inspection,spare materials check,",Nil,"IPU-6C,F486-4I,FSIO2,FSIO2-Ex,FIO7[P],EXT FIO7[P],PIO2-LOG,DID,WDT relay 
LINE-2B not available 
MOXA not available",16/09/2025,YES,05-02-22,Working,
46,KPD.E,MCN,Station,AJJ-JTJ,B,KYOSAN,38,TN,29-03-23,2022-23,Centralised,NA,YES,YES,29-03-2023,DUAL VDU,Made in india samsung & LH55QMCEBGCLXL,05-12-24,,Made in korea (LG) & 55UH5C,07/01/2020,,"C&T , ACO 6033C-2L-M12",,,"C&T ,ACO-6033C-2L-M12",,,BX110 IPS,B110 GALLANT ,,HOT STAND BY,K5BMC,,Upgraded,,INSIDE,AMC,08-07-25,07-07-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,RDSO STD,1-5 years,NO,YES,YES,18/11/2025,10:26:00,14:20:00,"Check measure power supply,Visual inspection & spare meterials check",Nil,"IPU6C,F486-4I,FSIO2,FSIO2-Ex,FIO7[P],PIO2-LOG,DID,
LINE-2B not available 
MOXA not available",18/10/2025,YES,29-03-23,Working,
47,KPD.E,THL,Station,AJJ-JTJ,B,KYOSAN,34,TN,29-11-23,2023-24,Centralised,NA,YES,YES,,DUAL VDU,LG 55UH5J,01-10-23,29-11-23,,,29-11-23,C & T,,,,,,BX110 IPS,B110 GALLANT ,,HOT STAND BY,K5BMC,,Upgraded,,OUTSIDE,AMC,08-07-25,07-07-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,RDSO STD,1-5 years,NO,YES,YES,,,,,,,,YES,29-11-23,Working,
48,JTJ,JTJ,Station,AJJ-JTJ,B,KYOSAN,254,TN,21-05-20,2020-21,Distributed,2,NO,YES,,DUAL VDU,LG,01-03-19,01-03-19,,,,RCS,,,,,,BX110 IPS,B110 IPS,,HOT STAND BY,K5BMC,,Upgraded,,OUTSIDE,AMC,08-07-25,07-07-28,PROVIDED,"IPS SUPPLY
OC Hut 1 Gallant charger",PROVIDED,PROVIDED,ESM,1-5 years,NO,YES,YES,,,,,,,,NO,,NA,
49,JTJ,JTJ AUX,Station,AJJ-JTJ,B,KYOSAN,36,TN,21-05-20,2020-21,Distributed,1,NO,YES,,DUAL VDU,LG,02-03-19,02-03-19,,,,RCS,,,,,,BX110 IPS,B110 IPS,,HOT STAND BY,K5BMC,,Upgraded,,OUTSIDE,AMC,08-07-25,07-07-28,PROVIDED,"IPS SUPPLY
OC Hut 3 Gallant charger",PROVIDED,PROVIDED,ESM,1-5 years,NO,YES,YES,,,,,,,,NO,,NA,
50,MSB,MSB,Station,MSB-VM,B,HITACHI,257,TN,21-03-19,2018-19,Distributed,1,NO,YES,,DUAL VDU,LG 55UH5J,01-03-22,,LG 55UH5J,01-06-22,,SINTRONES/ VBOX-3610-I3-M124,,,,,,BX110 IPS,BX110 IPS,,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,21-03-24,OUTSIDE,AMC,28-05-25,27-11-25,PROVIDED,RIPPLE FREE,PROVIDED,PROVIDED,ESM,5-10 years,NO,YES,YES,,,,,,,,NO,,NA,
51,MSB,MCPK,Station,MSB-VLCY,C,KYOSAN,9,TN,01-02-23,2022-23,Centralised,NA,YES,YES,,DUAL VDU,,,,,,,,,,,,,BX110 IPS,B110 IPS,,HOT STAND BY,K5BMC,,Upgraded,,INSIDE,AMC,27-06-25,26-06-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,RDSO STD,1-5 years,NO,YES,YES,,,,,,,,YES,01-02-23,Working,
52,MSB,MTMY,Station,MSB-VLCY,C,KYOSAN,10,TN,01-03-23,2022-23,Centralised,NA,YES,YES,,DUAL VDU,,,,,,,,,,,,,BX110 IPS,B110 IPS,,HOT STAND BY,K5BMC,,Upgraded,,,AMC,27-06-25,26-06-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,RDSO STD,1-5 years,NO,YES,YES,,,,,,,,YES,01-03-23,Working,
53,MSB,VLCY,Station,MSB-VLCY,C,HITACHI,35,TN,05-09-20,2020-21,Centralised,NA,NO,YES,,DUAL VDU,,,,,,,,,,,,,BX110 IPS,230/AT With UPS,,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,15-02-24,OUTSIDE,AMC,28-02-22,27-02-26,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,ESM,1-5 years,NO,NO,NO,,,,,,,,NO,,NA,
54,MS,MS,Station,MSB-VM,B,SIEMENS,275,TN,09-03-25,2024-25,Distributed,3,NO,YES,,DUAL VDU,,,,,,,,,,,,,BX110 IPS,230/AT With UPS,,HOT STAND BY,MK2,"MK-II
PM 1/3 TO 3/3",Mark-II,,,WARRANTY,09-03-25,08-03-26,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,SEAL PROVIDED,<1 year,YES,YES,YES,,,,,,,,NO,,NA,
55,MS,STM,Station,MSB-VM,B,HITACHI,61,TN,31-05-15,2015-16,Centralised,NA,NO,YES,,Panel+VDU working,,,,NA,NA,NA,,,,,,,BX110 IPS,NA,,WARM STAND BY,MLK-II,,Not Upgraded,,OUTSIDE,AMC,28-04-25,27-04-28,NOT PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,,5-10 years,NO,YES,YES,,,,,,,,NO,,NA,
56,TBM,TBM,Station,MSB-VM,B,KYOSAN,358,TN,21-03-21,2020-21,Distributed,5,NO,YES,,DUAL VDU,LG,,18-08-24,,,18-08-24,,,18-08-24,,,18-08-24,BX110 IPS,230/AT With UPS,,HOT STAND BY,K5BMC,,Upgraded,,OUTSIDE,AMC,07-06-22,06-06-27,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,ESM,1-5 years,NO,YES,YES,,,,,,,,NO,,NA,
57,TBM,VDR,Station,MSB-VM,B,HITACHI,20,TN,09-08-21,2021-22,Centralised,NA,NO,YES,,DUAL VDU,SAMSUNG,,,,,,,,,,,,BX110 IPS,230/AT With UPS,,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,19-02-24,OUTSIDE,AMC,28-04-25,27-04-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,ESM,1-5 years,NO,NO,YES,,,,,,,,NO,,NA,
58,TBM,GI,Station,MSB-VM,B,HITACHI,45,TN,17-11-19,2019-20,Centralised,NA,NO,YES,,DUAL VDU,,,,,,,,,,,,,BX110 IPS,BX110 IPS,MANUUAL DELETION DONE,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,16-02-24,OUTSIDE,AMC,04-05-21,03-05-26,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,ESM,5-10 years,NO,NO,YES,,,,,,,,NO,,NA,
59,TBM,SKL,Station,MSB-VM,B,HITACHI,50,TN,20-10-19,2019-20,Centralised,NA,NO,YES,,DUAL VDU,,,,,,,,,,,,,BX110 IPS,230/AT With UPS,,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,13-02-24,OUTSIDE,AMC,04-05-21,03-05-26,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,ESM,5-10 years,NO,NO,YES,,,,,,,,NO,,NA,
60,CGL,CGL,Station,MSB-VM,B,SIEMENS,188,TN,31-01-21,2020-21,Distributed,2,NO,YES,,DUAL VDU,,,,,,,,,,,,,BX110 IPS,230/AT With UPS,,HOT STAND BY,MK2,"MK-II
PM 1/3 TO 3/3",Mark-II,23-04-24,OUTSIDE,AMC,25-07-22,24-07-27,PROVIDED,RIPPLE FREE,PROVIDED,PROVIDED,SEAL PROVIDED,1-5 years,NO,YES,YES,,,,,,,,NO,,NA,
61,CGL,OV,Station,MSB-VM,B,SIEMENS,28,TN,27-09-15,2015-16,Centralised,NA,NO,YES,,Panel+VDU working,,,,,,,,,,,,,BX110 IPS,NA,,HOT STAND BY,MK1,PSU CARD,Mark-I,,INSIDE,AMC,28-01-25,27-01-28,NOT PROVIDED,IPS SUPPLY,EMRC Not Available,NOT PROVIDED,N/A,5-10 years,NO,NO,NO,,,,,,,,NO,,NA,
62,CGL,KGZ,Station,MSB-VM,B,HITACHI,27,TN,05-04-23,2023-24,Centralised,NA,NO,YES,,DUAL VDU,,,05-04-23,,,05-04-23,,,,,,,BX110 IPS,230/AT With UPS,,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,20-02-24,OUTSIDE,AMC,28-04-25,27-04-28,NOT PROVIDED,RIPPLE FREE,PROVIDED,PROVIDED,SEAL PROVIDED,1-5 years,NO,YES,YES,,,,,,,,NO,,NA,
63,CGL,MMK,Station,MSB-VM,B,HITACHI,23,TN,09-03-22,2021-22,Centralised,NA,NO,YES,,DUAL VDU,,,,,,,,,,,,,BX110 IPS,BX110 IPS,,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,21-02-24,INSIDE,AMC,28-04-25,27-04-28,NOT PROVIDED,CONVENTIONAL,PROVIDED,PROVIDED,SEAL PROVIDED,1-5 years,NO,YES,YES,,,,,,,,NO,,NA,
64,CGL,WJ,Station,CGL-AJJ,D,KYOSAN,42,TN,01-02-24,2023-24,Centralised,NA,YES,YES,,DUAL VDU,,,01-02-24,,,01-02-24,,,,,,,230/AT With UPS,230/AT With UPS,,HOT STAND BY,K5BMC,,,,,AMC,08-07-25,07-07-28,NOT PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,RDSO STD,1-5 years,NO,YES,YES,,,,,,,,NO,,NA,
65,TMV,MLMR,Station,MSB-VM,B,HITACHI,46,TN,15-12-18,2018-19,Centralised,NA,NO,NO,31-03-2025,"DUAL VDU
 (19.07.21)",LG & 49 UH5C,01-04-19,01-04-19,,,,VECOW & ECS-9210M-100T4,,,,,,BX110/IPS,BX110/IPS,,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,28-02-24,INSIDE,AMC,28-04-25,27-04-28,NOT PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,ESM,5-10 years,,NO,NO,,,,,,,,NO,,NA,
66,TMV,TZD,Station,MSB-VM,B,SIEMENS,25,TN,18-03-13,2012-13,Centralised,NA,NO,NO,31-03-2025,Panel+VDU working,LG &55 UH5F,01-01-21,,,,,SINTRONES,,,,,,BX110/IPS,NA,,HOT STAND BY,MK1,PSU CARD,Mark-I,,INSIDE,AMC,28-01-25,27-01-28,NOT PROVIDED,IPS SUPPLY,EMRC Not Available,PROVIDED,N/A,10-15 years,,NO,NO,,,,,,,,NO,,NA,
67,TMV,OLA,Station,MSB-VM,B,HITACHI,28,TN,01-02-23,2022-23,Centralised,NA,NO,NO,31-03-2025,DUAL VDU,LG &55 UH5F,01-07-22,01-07-22,,,,VECOW & ECS-9210M-100T4,,,,,,BX110/IPS,BX110/IPS,,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,02-03-24,OUTSIDE,AMC,28-04-25,27-04-28,NOT PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,ESM,1-5 years,,NO,NO,,,,,,,,NO,,NA,
68,TMV,TMV,Station,MSB-VM,B,HITACHI,30,TN,22-12-21,2021-22,Centralised,NA,NO,NO,31-03-2025,DUAL VDU,LG & 55 UH5C,01-02-22,01-02-22,,,,VECOW & ECS-9210M-100T4,,,,,,BX110/IPS,BX110/IPS,,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,04-03-24,OUTSIDE,AMC,28-04-25,27-04-28,NOT PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,ESM,1-5 years,,NO,NO,,,,,,,,YES,22-12-21,Working,
69,TMV,MTL,Station,MSB-VM,B,HITACHI,20,TN,05-01-22,2021-22,Centralised,NA,NO,NO,31-03-2025,DUAL VDU,LG & 55 UH5C,01-02-20,01-02-20,,,,VECOW & ECS-9210M-100T4,,,,,,BX110/IPS,B110 IPS,,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,07-03-24,OUTSIDE,AMC,28-04-25,27-04-28,NOT PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,ESM,1-5 years,,NO,NO,,,,,,,,NO,,NA,
70,TMV,PEI,Station,MSB-VM,B,SIEMENS,24,TN,18-06-12,2012-13,Centralised,NA,NO,NO,31-03-2025,Panel+VDU working,Panasonic & LH-55QM1KD,01-03-19,,,,,VECOW ,,,,,,BX110/IPS,NA,,HOT STAND BY,MK1,PSU CARD,Mark-I,,INSIDE,AMC,28-01-25,27-01-28,NOT PROVIDED,IPS SUPPLY,EMRC Not Available,PROVIDED,N/A,10-15 years,,NO,NO,,,,,,,,NO,,NA,
71,TMV,VVN,Station,MSB-VM,B,HITACHI,26,TN,11-11-11,2011-12,Centralised,NA,NO,NO,31-03-2025,DUAL VDU (Dt.15.06.22),SAMSUNG & LH55QMBEBGCLXL,01-07-22,,,,,VECOW,,,,,,BX110/IPS,B110 IPS,,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,12-03-24,OUTSIDE,AMC,28-04-25,27-04-28,NOT PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,ESM,10-15 years,,NO,NO,,,,,,,,NO,,NA,
72,TMV,MYP,Station,MSB-VM,B,HITACHI,63,TN,05-09-10,2010-11,Centralised,NA,NO,NO,31-03-2025,DUAL VDU (Dt.24.08.22),SAMSUNG & LH55QMBEBGCLXL,01-07-22,,,,,VECOW & ECS-9210M-100T4,,,,,,BX110/IPS,B110 IPS,,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,04-03-24,OUTSIDE,AMC,28-04-25,27-04-28,NOT PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,ESM,10-15 years,,NO,NO,,,,,,,,NO,,NA,
1,TRT,AJJN-TRT,Auto Section,AJJ-RU,B,MEDHA,,TN,28-01-24,2023-24,Distributed,2,NO,YES,,SINGLE VDU,,,28-01-24,NA,NA,NA,,,,NA,NA,NA,B110/IPS,NA,,HOT STAND BY,MEI 634,,,,OUTSIDE,Due for AMC,28-01-24,27-01-25,PROVIDED,IPS SUPPLY,,,,1-5 years,,,,,,,,,,,,,,
2,TRT,TRT-POI,Auto Section,AJJ-RU,B,MEDHA,,TN,28-01-24,2023-24,Distributed,1,NO,YES,,SINGLE VDU,,,28-01-24,NA,NA,NA,,,,NA,NA,NA,B110/IPS,NA,,HOT STAND BY,MEI 634,,,,OUTSIDE,Due for AMC,28-01-24,27-01-25,PROVIDED,IPS SUPPLY,,,,1-5 years,,,,,,,,,,,,,,
3,TRT,POI-NG,Auto Section,AJJ-RU,B,MEDHA,,AP,09-02-25,2024-25,Distributed,2,NO,YES,,SINGLE VDU,,,,,,,,,,,,,B110/IPS,NA,,HOT STAND BY,MEI 634,,,,INSIDE,WARRANTY,09-02-25,08-02-26,NOT PROVIDED,IPS SUPPLY,,,,<1 year,,,,,,,,,,,,,,
4,TRT,NG-VGA,Auto Section,AJJ-RU,B,MEDHA,,AP,09-02-25,2024-25,Distributed,2,NO,YES,,SINGLE VDU,,,,,,,,,,,,,B110/IPS,NA,,HOT STAND BY,MEI 634,,,,INSIDE,WARRANTY,09-02-25,08-02-26,NOT PROVIDED,IPS SUPPLY,,,,<1 year,,,,,,,,,,,,,,
5,TRT,VGA-PUT,Auto Section,AJJ-RU,B,MEDHA,,AP,09-02-25,2024-25,Distributed,2,NO,YES,,SINGLE VDU,,,,,,,,,,,,,B110/IPS,NA,,HOT STAND BY,MEI 634,,,,INSIDE,WARRANTY,09-02-25,08-02-26,NOT PROVIDED,IPS SUPPLY,,,,<1 year,,,,,,,,,,,,,,
6,TRT,PUT-TDK,Auto Section,AJJ-RU,B,MEDHA,,AP,15-06-25,2025-26,Distributed,2,NO,YES,,SINGLE VDU,,,,,,,,,,,,,B110/IPS,NA,,HOT STAND BY,MEI 634,,,,INSIDE,WARRANTY,15-06-25,14-06-26,,,,,,<1 year,,,,,,,,,,,,,,
7,TRT,TDK-SVF,Auto Section,AJJ-RU,B,MEDHA,,AP,15-06-25,2025-26,Distributed,1,NO,YES,,SINGLE VDU,,,,,,,,,,,,,B110/IPS,NA,,HOT STAND BY,MEI 634,,,,INSIDE,WARRANTY,15-06-25,14-06-26,,,,,,<1 year,,,,,,,,,,,,,,
8,TRT,SVF-PUDI,Auto Section,AJJ-RU,B,MEDHA,,AP,15-06-25,2025-26,Distributed,1,NO,YES,,SINGLE VDU,,,,,,,,,,,,,B110/IPS,NA,,HOT STAND BY,MEI 634,,,,INSIDE,WARRANTY,15-06-25,14-06-26,,,,,,<1 year,,,,,,,,,,,,,,
9,TRT,TDK-PUDI,Auto Section,AJJ-RU,B,MEDHA,,AP,15-06-25,2025-26,Distributed,1,NO,YES,,SINGLE VDU,,,,,,,,,,,,,B110/IPS,NA,,HOT STAND BY,MEI 634,,,,INSIDE,WARRANTY,15-06-25,14-06-26,,,,,,<1 year,,,,,,,,,,,,,,
